ID,Folder name,File name,File extension,#,"Last Word after last "" """,Date values,"Count # Col with "" """,PK#,Dates RPT,Dates,Dates (FI) ~See Function,*Mix*,*R2*,*Greta*,*Wato*,?President*,?Bat*,?PM*,*Today*,Day of Week,Week #,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,#.1,Weekday,ISO Week #
1,G:\MP3,You're The First The Last My Everything Johnnie W R2,mp3,12499,00/01/00,,10,MP3/12499,,, , ,You're The First The Last My Everything Johnnie W R2, , , , , , ,Sunday,52,You're , The, First, The, Last, My,12499,Sunday,52
2,G:\MP3,You'll Be Back Hamilton Jonathan Groff R2EP 251118,mp3,12498,251118,25/11/2018,7,MP3/12498,R2/EP/ 2,25/11/2018,25/11/2018, ,You'll Be Back Hamilton Jonathan Groff R2EP 251118, , , , , , ,Monday,47,You'll , Be, Back, Hamilton, Jonathan, Groff,12498,Monday,47
3,G:\MP3,You_ll Be Back Hamilton Jonathan Groff R2EP 251118,mp3,12511,251118,25/11/2018,7,MP3/12511,R2/EP/ 2,25/11/2018,25/11/2018, ,You_ll Be Back Hamilton Jonathan Groff R2EP 251118, , , , , , ,Monday,47,You_ll , Be, Back, Hamilton, Jonathan, Groff,12511,Monday,47
4,G:\MP3,You know what Po R2,mp3,12487,00/01/00,,5,MP3/12487,,, , ,You know what Po R2, , , , , , ,Sunday,52,You , know, what, Po,,,12487,Sunday,52
5,G:\MP3,YOU AIN'T GOIN' NOWHERE Bob Dylan JWR2 Mix 170520,mp3,12478,170520,17/05/2020,8,MP3/12478,Mi/x /17,17/05/2020,17/05/2020, Mix,YOU AIN'T GOIN' NOWHERE Bob Dylan JWR2 Mix 170520, , , , , , ,Monday,20,YOU , AIN'T, GOIN', NOWHERE, Bob, Dylan,12478,Monday,20
6,G:\MP3,Will You by Hazel OConnor R2SWCC191018,mp3,12322,R2SWCC191018,19/10/2018,5,MP3/12322,OC/on/no,19/10/2018,19/10/2018, ,Will You by Hazel OConnor R2SWCC191018, , , , , , ,Saturday,42,Will , You, by, Hazel, OConnor,,12322,Saturday,42
7,G:\MP3,Whitney Houston I Have Nothing Craig R2 090718,mp3,12266,090718,09/07/2018,7,MP3/12266,R2/ 0/90,09/07/2018,09/07/2018, ,Whitney Houston I Have Nothing Craig R2 090718, , , , , , ,Tuesday,28,Whitney , Houston, I, Have, Nothing, Craig,12266,Tuesday,28
8,G:\MP3,Whitney Houston  - Tilted BECAUSE MUSIC Christine and the Queens SWR2,mp3,12264,00/01/00,,12,MP3/12264,,, , ,Whitney Houston  - Tilted BECAUSE MUSIC Christine and the Queens SWR2, , , , , , ,Sunday,52,Whitney , Houston, , -, Tilted, BECAUSE,12264,Sunday,52
9,G:\MP3,TR2B LA ELL DDDMT MS QBOffical60s lr 090618,mp3,11528,090618,09/06/2018,7,MP3/11528,lr/ 0/90,09/06/2018,09/06/2018, ,TR2B , , , , , , ,Sunday,23,TR2B , LA, ELL, DDDMT, MS, QBOffical60s,11528,Sunday,23
10,G:\MP3,TR2B LA ELL DDDMT MS QBOffical60s 090618,mp3,11527,090618,09/06/2018,6,MP3/11527,QB/Of/fi,09/06/2018,09/06/2018, ,TR2B , , , , , , ,Sunday,23,TR2B , LA, ELL, DDDMT, MS, QBOffical60s,11527,Sunday,23
